"MOD_NAME","ITM_NAME","SEQ_NO","DSCR","ITM_TYPE","FLD_LEN","DECML","MIN_LEN","MAX_LEN","CODELIST","update_stamp"
"AE","","0","Adverse Event Log","","","","","","","2013-09-14 07:59:41.0"
"AE","REC_ID","1","Record ID","NUMBER","12","0","","","","2013-09-14 07:59:41.0"
"AE","F_STATUS","2","Data status: Verified, Secured or Locked","CHAR","1","","","","","2013-09-14 07:59:41.0"
"AE","CNO","3","Center Number","CHAR","4","","","","","2013-09-14 07:59:41.0"
"AE","PATNO","4","Patient Number","CHAR","8","","","","","2013-11-17 00:42:29.0"
"AE","EVENT_ID","5","Event Name","CHAR","8","","","","","2013-09-14 07:59:41.0"
"AE","PAG_NAME","6","Page Name","CHAR","8","","","","","2013-09-14 07:59:41.0"
"AE","INFODT","7","Event Date","DATE","","","","","","2013-09-14 07:59:41.0"
"AE","AESEQ","8","AE#","NUMBER","3","0","","","","2013-09-14 07:59:41.0"
"AE","AETERM","9","Adverse Event","CHAR","240","","","","","2013-09-14 07:59:41.0"
"AE","STARTDT","10","Start Date","DATE","","","","","","2013-09-14 07:59:41.0"
"AE","STARTEST","11","Start Date Estimation","CHAR","3","","","","DATEEST","2013-09-14 07:59:41.0"
"AE","STOPDT","12","Stop Date","DATE","","","","","","2013-09-14 07:59:41.0"
"AE","STOPEST","13","Stop Date Estimation","CHAR","3","","","","DATEEST","2013-09-14 07:59:41.0"
"AE","AESEVER","14","Severity","CHAR","1","","","","AESERV","2013-09-14 07:59:41.0"
"AE","SAE","15","SAE","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"AE","AERELAT","16","Relationship to Study","CHAR","1","","","","AERELAT","2013-09-14 07:59:41.0"
"AE","RELDSCAN","17","Related to DaTSCAN","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"AE","RELLP","18","Related to LP","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"AE","RELAV133","19","Related to AV-133","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"AE","RELPRCDR","20","Related to other study procedure","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
"AE","PWDTAE","21","Premature Withdrawal due to AE","CHAR","1","","","","YES","2013-09-14 07:59:41.0"
"AE","AEOUTCOM","22","Outcome","CHAR","1","","","","AEOUTCOM","2013-09-14 07:59:41.0"
"AE","AEFLUP","23","AE Status at final visit","CHAR","1","","","","YN","2013-09-14 07:59:41.0"
